year,top10,top5,top1,top.5,top.1,top.01
1913,0.433337093,0.330502183,0.205311909,0.17443471,0.09234858,0.031725282
1914,0.439444091,0.337352165,0.210209985,0.179674839,0.093656247,0.034604319
1915,0.432182805,0.329835132,0.203783583,0.17444328,0.096805844,0.042836944
1916,0.446002446,0.349957698,0.214588735,0.180690048,0.114015261,0.049534018
1917,0.451759313,0.359794391,0.214094182,0.17463334,0.102648216,0.039519604
1918,0.442487598,0.34627628,0.197952901,0.155200842,0.084132335,0.028891621
1919,0.461741477,0.371219785,0.217295377,0.169235277,0.089345021,0.028954701
1920,0.44390239,0.34531643,0.192226633,0.144960812,0.069070875,0.019042044
1921,0.475666618,0.360498069,0.192700403,0.145522208,0.069554296,0.019111034
1922,0.463084114,0.350910867,0.186730807,0.141422201,0.068805016,0.021019017
1923,0.439346406,0.332345385,0.17792168,0.13537325,0.065762595,0.019715681
1924,0.459454667,0.345915029,0.185604359,0.14143931,0.068939357,0.020793949
1925,0.474552978,0.369203571,0.207669517,0.159149849,0.080543999,0.027406313
1926,0.478362351,0.378122774,0.219859396,0.169901506,0.089597841,0.032101491
1927,0.473246385,0.372142681,0.21316444,0.16403336,0.085913679,0.030808613
1928,0.484446695,0.382195081,0.223608508,0.174224648,0.095692785,0.037029972
1929,0.471638609,0.375877259,0.222479039,0.174412283,0.098761577,0.040555221
1930,0.4654305,0.355473749,0.19438864,0.147022206,0.075346803,0.026694695
1931,0.466078055,0.339121115,0.168189653,0.123067587,0.058358847,0.018542346
1932,0.485813078,0.354489313,0.165563356,0.122981334,0.058526589,0.014986581
1933,0.48274508,0.362402583,0.175160757,0.131204786,0.064657698,0.018596844
1934,0.493281414,0.381415355,0.191113138,0.145531737,0.071357798,0.021355707
1935,0.483161731,0.36798026,0.193890622,0.148361742,0.073750242,0.022642995
1936,0.486046711,0.373140704,0.209751949,0.161552564,0.079288427,0.023086475
1937,0.47724399,0.365056575,0.207097869,0.158828443,0.078577612,0.023716679
1938,0.473301594,0.35082547,0.186863111,0.140426812,0.068887565,0.023469045
1939,0.488240702,0.363429825,0.196068384,0.147575637,0.071339745,0.021579824
1940,0.491109219,0.371356928,0.20894575,0.159425475,0.079664867,0.026027085
1941,0.471512098,0.366188844,0.215973565,0.165238697,0.083976726,0.028362516
1942,0.425467046,0.336830064,0.206279296,0.159319212,0.080333251,0.025239144
1943,0.391602138,0.310928498,0.186580441,0.141081408,0.068221088,0.018565044
1944,0.363114071,0.275547035,0.154148511,0.11397216,0.05337491,0.016313292
1945,0.355771267,0.268634905,0.143287506,0.103126484,0.045501659,0.012138674
1946,0.372221021,0.282352761,0.143255233,0.100979204,0.043130461,0.012558066
1947,0.37133857,0.285849829,0.150240524,0.108029857,0.049672613,0.016137173
1948,0.390676203,0.301604822,0.163526147,0.120297539,0.056837669,0.018054555
1949,0.385362498,0.292482953,0.157318892,0.115936929,0.055204477,0.017962393
1950,0.39224619,0.30092627,0.16741588,0.122977226,0.059582736,0.015154591
1951,0.381100534,0.292084711,0.160436115,0.117017321,0.055023396,0.017818928
1952,0.368584999,0.278640589,0.149911421,0.109183285,0.051300716,0.016229177
1953,0.358841253,0.267469048,0.140579395,0.102081605,0.047539712,0.01552458
1954,0.361575035,0.268735515,0.139359895,0.099991407,0.046618948,0.01456588
1955,0.368771193,0.275050151,0.146180888,0.105633774,0.051580584,0.017247396
1956,0.35868906,0.265475324,0.137930567,0.101634415,0.048058709,0.015445236
1957,0.358297197,0.265242695,0.134988264,0.098690052,0.045834852,0.014170189
1958,0.35647459,0.259252126,0.126183418,0.090783875,0.040734175,0.012337888
1959,0.36074142,0.264502299,0.13146015,0.095737179,0.04332635,0.013254278
1960,0.356231341,0.257469112,0.126143898,0.09114757,0.042785265,0.014580347
1961,0.356985904,0.257382836,0.124414817,0.089405514,0.042458566,0.01475268
1962,0.361348063,0.260481805,0.126164675,0.091102019,0.042669602,0.014422704
1963,0.362444595,0.261589766,0.126641944,0.091737021,0.043418791,0.014974779
1964,0.363541126,0.262697726,0.127119213,0.092372023,0.044167981,0.015526855
1965,0.359944925,0.260107905,0.126345061,0.092129398,0.044486471,0.015703239
1966,0.356348723,0.257518083,0.125570908,0.091886774,0.04480496,0.015879622
1967,0.352235489,0.253689699,0.122633098,0.089163894,0.0424676,0.014503099
1968,0.348832732,0.250162804,0.120149921,0.08718079,0.041317089,0.01402876
1969,0.339968064,0.24042398,0.112523871,0.080911619,0.037743847,0.012949851
1970,0.337073366,0.235790127,0.107354165,0.076276544,0.03475408,0.011732159
1971,0.340303446,0.238093337,0.108112252,0.076792759,0.034980512,0.011719083
1972,0.342471628,0.239563008,0.107924228,0.076306957,0.034588514,0.011493696
1973,0.341986842,0.238840443,0.105933386,0.074285283,0.033275898,0.010769262
1974,0.338916967,0.234950937,0.103244091,0.072225751,0.032106273,0.010359583
1975,0.340642902,0.235180167,0.103085042,0.071933343,0.032017278,0.01057138
1976,0.341279716,0.235471945,0.10306415,0.07207244,0.032221073,0.010732541
1977,0.341932602,0.236178859,0.10347409,0.072549394,0.032541152,0.010880721
1978,0.340925762,0.235437948,0.103448101,0.072976056,0.033259175,0.011327965
1979,0.342516392,0.238071561,0.10671211,0.076235704,0.036026575,0.012822537
1980,0.340173304,0.233784869,0.102790341,0.07289698,0.03371172,0.011546904
1981,0.344153941,0.236895084,0.104907535,0.074751116,0.034921337,0.012082545
1982,0.348534405,0.239737868,0.107620187,0.077952534,0.038890649,0.015278238
1983,0.354513973,0.244176164,0.111013755,0.080915421,0.040909655,0.017221469
1984,0.35968411,0.250145733,0.115428373,0.085102431,0.043629993,0.018063016
1985,0.361110717,0.251224309,0.117353879,0.086715288,0.044879552,0.018316133
1986,0.359786391,0.248590082,0.113711864,0.083280668,0.041402448,0.016852833
1987,0.370055258,0.260689676,0.124658063,0.092576072,0.047684912,0.020408135
1988,0.38562566,0.277867466,0.141397744,0.107896984,0.057988949,0.024102662
1989,0.38205871,0.273811221,0.137057632,0.103559934,0.054499984,0.022860073
1990,0.38322413,0.274299562,0.137673274,0.103888974,0.054306313,0.022627739
1991,0.382937819,0.271744996,0.131637111,0.0980381,0.050341893,0.020730956
1992,0.394437224,0.283069074,0.141313881,0.106408596,0.056351531,0.023699349
1993,0.391579092,0.279350251,0.13616246,0.101608783,0.053119566,0.022112871
1994,0.390614629,0.278147399,0.134797096,0.100225247,0.051967092,0.02149735
1995,0.397931874,0.285078675,0.140275776,0.105019584,0.055049099,0.022789408
1996,0.406174302,0.294411302,0.14756453,0.111326359,0.059777476,0.025562542
1997,0.412809521,0.301758379,0.154461682,0.117750555,0.064297035,0.027791647
1998,0.416677922,0.305977285,0.158691809,0.121657372,0.06714844,0.028658785
1999,0.420695096,0.309879661,0.162389278,0.12524727,0.070126966,0.030472221
2000,0.426572293,0.316244334,0.169527531,0.132094711,0.075819358,0.033833157
2001,0.420289159,0.309090406,0.162482396,0.125575155,0.070329934,0.030439908
2002,0.417010546,0.304822475,0.15790157,0.121023566,0.067181326,0.029467748
2003,0.419294775,0.306795239,0.15999496,0.123246193,0.069317453,0.031288054
2004,0.425173461,0.313640207,0.166680351,0.12925297,0.073287524,0.032576188
2005,0.434281111,0.323385715,0.174880579,0.136600554,0.078547873,0.034309175
2006,0.442131013,0.330879956,0.181052655,0.142131984,0.08209452,0.035806928
2007,0.442177504,0.331649095,0.182777211,0.144080073,0.084207036,0.038380325
2008,0.441740543,0.329036474,0.178732812,0.140525803,0.082612216,0.038597573
2009,0.435804009,0.318977147,0.166894555,0.129468411,0.074076764,0.033372626
2010,0.446240336,0.330549926,0.176900089,0.138159648,0.07952521,0.034821365
2011,0.452885121,0.337320238,0.182343408,0.142873287,0.082974769,0.037959978
2012,0.462445557,0.348066837,0.192750782,0.152195334,0.089475662,0.040830921
2013,0.456344157,0.340391845,0.183408588,0.143290058,0.083586238,0.038079064
2014,0.46132201,0.345879823,0.188399792,0.147453934,0.085748903,0.039022766
2015,0.462994039,0.346769184,0.18819055,0.147364065,0.085485585,0.038743731
2016,0.46170643,0.344585955,0.185838223,0.145061269,0.083812281,0.037332673
2017,0.459007174,0.343948781,0.186507359,0.1462892,0.085598215,0.040241022
2018,0.459439218,0.344893724,0.187762663,0.147178382,0.086040705,0.040117729
2019,0.458414495,0.343459249,0.186001733,0.145377725,0.084289335,0.038391043
