year,cpi98,avg_income,share_90_100,share_90_95,share_95_99,share_99_100,share_99.5_100,share_99.9_100,share_99.99_100,top1_w_capgain
1917,12.7492,"13,204",40.29,9.95,12.74,17.6,14.23,8.36,3.33,17.73
1918,10.8596,"12,502",39.9,10.61,13.41,15.88,12.39,6.74,2.45,16
1919,9.4514,"12,240",39.48,10.17,13.44,15.87,12.23,6.45,2.22,16.19
1920,8.1618,"10,918",38.1,10.63,13.01,14.46,10.95,5.37,1.67,14.71
1921,9.1398,"9,636",42.86,12.4,14.98,15.47,11.6,5.6,1.69,15.63
1922,9.7543,"10,875",42.95,11.9,14.76,16.29,12.38,6.17,2.01,16.68
1923,9.5818,"12,096",40.59,11.64,13.96,14.99,11.32,5.5,1.75,15.32
1924,9.5627,"11,951",43.26,12.34,14.61,16.32,12.42,6.14,2.01,16.85
1925,9.3295,"12,073",44.17,11.7,14.86,17.6,13.41,6.75,2.35,18.72
1926,9.2371,"12,199",44.07,11.32,14.74,18.01,13.75,7.07,2.54,18.78
1927,9.416,"12,291",44.67,11.23,14.75,18.68,14.33,7.47,2.76,19.6
1928,9.54,"12,542",46.09,11.32,15.17,19.6,15.17,8.19,3.23,21.27
1929,9.54,"13,076",43.76,10.71,14.63,18.42,14.21,7.62,3.01,19.9
1930,9.7846,"11,848",43.07,11.89,14.76,16.42,12.42,6.4,2.39,16.76
1931,10.7288,"10,750",44.4,13.39,15.74,15.27,11.32,5.68,2.07,15.41
1932,11.9607,"9,041",46.3,13.71,17.11,15.48,11.55,5.9,1.93,15.57
1933,12.6035,"8,805",45.03,12.54,16.72,15.77,11.78,6.05,2.04,16.12
1934,12.1891,"9,671",45.16,12.16,17.13,15.87,11.8,5.82,1.92,16.02
1935,11.8918,"10,472",43.39,12.4,15.36,15.63,11.67,5.8,1.95,16
1936,11.774,"11,493",44.77,12.12,15.02,17.64,13.37,6.69,2.23,18.23
1937,11.3649,"12,053",43.35,11.97,14.93,16.45,12.42,6.16,2.02,16.69
1938,11.585,"11,086",43,12.82,15.45,14.73,10.82,5.16,1.67,15.05
1939,11.7495,"11,812",44.57,13.28,15.89,15.39,11.37,5.45,1.74,15.66
1940,11.6332,"12,367",44.43,13.14,15.55,15.73,11.66,5.57,1.77,15.97
1941,11.0792,"14,455",41.02,12,14.01,15.01,11.15,5.29,1.63,15.25
1942,10.0083,"16,794",35.49,10.39,12.2,12.91,9.6,4.48,1.32,13.07
1943,9.4329,"19,420",32.67,9.65,11.54,11.48,8.43,3.78,0.97,11.8
1944,9.2752,"20,568",31.55,9.79,11.22,10.54,7.6,3.33,0.92,10.82
1945,9.0667,"20,102",32.64,9.74,11.83,11.07,7.87,3.32,0.84,11.67
1946,8.3564,"19,025",34.62,9.96,12.9,11.76,8.28,3.43,0.92,12.36
1947,7.3045,"18,257",33.02,9.72,12.35,10.95,7.71,3.24,0.9,11.34
1948,6.776,"18,579",33.72,10.02,12.43,11.27,8.03,3.44,0.95,11.64
1949,6.8445,"18,353",33.76,10.3,12.52,10.95,7.77,3.34,0.95,11.24
1950,6.7767,"19,809",33.87,10,12.51,11.36,8.14,3.53,0.83,11.98
1951,6.2805,"20,410",32.82,10.15,12.15,10.52,7.41,3.12,0.87,11.05
1952,6.1453,"21,059",32.07,10.23,12.09,9.76,6.81,2.76,0.75,10.19
1953,6.0966,"21,987",31.38,10.37,11.93,9.08,6.26,2.51,0.67,9.41
1954,6.0662,"21,720",32.12,10.56,12.17,9.39,6.47,2.57,0.71,9.97
1955,6.0906,"23,219",31.77,10.39,12.2,9.18,6.28,2.49,0.72,9.97
1956,6.0006,"24,425",31.81,10.46,12.26,9.09,6.14,2.38,0.68,9.75
1957,5.7921,"24,528",31.69,10.52,12.19,8.98,6.08,2.36,0.66,9.47
1958,5.6398,"23,783",32.11,10.85,12.43,8.83,5.94,2.29,0.64,9.42
1959,5.595,"25,186",32.03,11.01,12.28,8.75,5.9,2.19,0.62,9.58
1960,5.5069,"25,500",31.66,11.15,12.15,8.36,5.52,2.1,0.6,9.07
1961,5.4524,"25,802",31.9,10.99,12.57,8.34,5.41,2.05,0.59,9.32
1962,5.3931,"26,679",32.04,11.1,12.67,8.27,5.4,1.98,0.56,8.98
1963,5.3291,"27,369",32.01,11.11,12.73,8.16,5.33,1.96,0.57,8.93
1964,5.2607,"28,680",31.64,11.02,12.6,8.02,5.33,1.97,0.53,9.15
1965,5.1728,"29,828",31.52,10.82,12.63,8.07,5.42,2.04,0.54,9.35
1966,5.027,"31,136",31.98,10.99,12.62,8.37,5.59,2.15,0.6,9.52
1967,4.8853,"31,954",32.05,10.97,12.65,8.43,5.63,2.16,0.6,9.94
1968,4.6884,"33,002",31.98,11.01,12.62,8.35,5.58,2.15,0.58,10.2
1969,4.4482,"33,506",31.82,11.14,12.66,8.02,5.3,2,0.55,9.5
1970,4.2004,"33,637",31.51,11.13,12.58,7.8,5.16,1.94,0.53,8.5
1971,4.0234,"33,543",31.75,11.26,12.71,7.79,5.12,1.91,0.52,8.73
1972,3.8986,"34,941",31.62,11.25,12.62,7.75,5.1,1.92,0.52,8.78
1973,3.671,"35,679",31.85,11.28,12.83,7.74,5.07,1.89,0.5,8.44
1974,3.3072,"34,623",32.36,11.32,12.91,8.12,5.41,2.11,0.56,8.61
1975,3.0314,"32,807",32.62,11.6,13.02,8.01,5.31,2.04,0.56,8.45
1976,2.8652,"33,587",32.42,11.57,12.96,7.89,5.23,2.02,0.56,8.43
1977,2.6903,"33,924",32.43,11.6,12.93,7.9,5.25,2.04,0.57,8.46
1978,2.5003,"34,560",32.44,11.58,12.91,7.95,5.3,2.08,0.58,8.47
1979,2.2464,"34,018",32.35,11.52,12.8,8.03,5.38,2.16,0.62,9.11
1980,1.9792,"32,428",32.87,11.7,12.99,8.18,5.51,2.23,0.65,9.27
1981,1.7944,"31,763",32.72,11.75,12.94,8.03,5.42,2.23,0.66,9.03
1982,1.6897,"31,310",33.22,11.82,13.01,8.39,5.73,2.45,0.77,9.85
1983,1.6373,"31,318",33.69,11.91,13.19,8.59,5.94,2.61,0.87,10.42
1984,1.5698,"32,401",33.95,11.85,13.21,8.89,6.22,2.83,0.98,10.76
1985,1.5152,"32,938",34.25,11.87,13.28,9.09,6.39,2.91,0.97,11.24
1986,1.487,"33,362",34.57,11.98,13.46,9.13,6.38,2.87,1,13.4
1987,1.4353,"34,328",36.48,11.99,13.74,10.75,7.76,3.73,1.3,11.84
1988,1.3788,"35,862",38.63,11.68,13.78,13.17,9.96,5.21,1.99,14.73
1989,1.3156,"35,607",38.47,11.81,14.05,12.61,9.37,4.74,1.74,13.9
1990,1.2482,"35,174",38.84,11.78,14.07,12.98,9.71,4.9,1.83,13.88
1991,1.1979,"34,137",38.38,11.95,14.26,12.17,8.9,4.36,1.61,12.76
1992,1.163,"34,345",39.82,11.94,14.4,13.48,10.11,5.21,2.02,14.3
1993,1.1291,"33,633",39.48,12.07,14.59,12.82,9.45,4.72,1.74,13.77
1994,1.1005,"34,107",39.6,12.09,14.65,12.85,9.45,4.7,1.73,13.72
1995,1.0705,"34,971",40.19,12.08,14.77,13.33,9.87,4.94,1.8,14.43
1996,1.0394,"35,682",40.95,11.98,15.11,13.85,10.18,5.31,2.1,15.01
1997,1.016,"37,046",41.25,11.97,14.96,14.32,10.79,5.73,2.34,15.8
1998,1,"38,739",41.44,12.02,14.83,14.58,11.14,6.04,2.57,16.37
